error	steps
2719.0	204.0
2719.0	205.0
2719.0	206.0
2719.0	207.0
2719.0	208.0
2719.0	209.0
2719.0	210.0
2719.0	211.0
2719.0	212.0
2719.0	213.0
2719.0	214.0
2719.0	215.0
2719.0	216.0
2719.0	217.0
2719.0	218.0
2719.0	219.0
2719.0	220.0
2719.0	221.0
2719.0	222.0
2719.0	223.0
2719.0	224.0
2719.0	225.0
2719.0	226.0
2719.0	227.0
2719.0	228.0
2719.0	229.0
2719.0	230.0
2719.0	231.0
2719.0	232.0
2719.0	233.0
2719.0	234.0
2719.0	235.0
2719.0	236.0
2719.0	237.0
2719.0	238.0
2719.0	239.0
2719.0	240.0
2719.0	241.0
2719.0	242.0
2719.0	243.0
2719.0	244.0
2719.0	245.0
2719.0	246.0
2719.0	247.0
2719.0	248.0
2719.0	249.0
2719.0	250.0
2719.0	251.0
2719.0	252.0
2719.0	253.0
2719.0	254.0
2719.0	255.0
2719.0	256.0
2719.0	257.0
2719.0	258.0
2719.0	259.0
2719.0	260.0
2719.0	261.0
2719.0	262.0
2719.0	263.0
2719.0	264.0
2719.0	265.0
2719.0	266.0
2719.0	267.0
2719.0	268.0
2719.0	269.0
2719.0	270.0
2719.0	271.0
2719.0	272.0
2719.0	273.0
2719.0	274.0
2719.0	275.0
2719.0	276.0
2719.0	277.0
2719.0	278.0
2719.0	279.0
2719.0	280.0
2719.0	281.0
2719.0	282.0
2719.0	283.0
2719.0	284.0
2719.0	285.0
2719.0	286.0
2719.0	287.0
2719.0	288.0
2719.0	289.0
2719.0	290.0
2719.0	291.0
2719.0	292.0
2719.0	293.0
2719.0	294.0
2719.0	295.0
2719.0	296.0
2719.0	297.0
2719.0	298.0
2719.0	299.0
2719.0	300.0
2719.0	301.0
2719.0	302.0
2719.0	303.0
2719.0	304.0
2719.0	305.0
2719.0	306.0
2719.0	307.0
2719.0	308.0
2719.0	309.0
2719.0	310.0
2719.0	311.0
2719.0	312.0
2719.0	313.0
2719.0	314.0
2719.0	315.0
2719.0	316.0
2719.0	317.0
2719.0	318.0
2719.0	319.0
2719.0	320.0
2719.0	321.0
2719.0	322.0
2719.0	323.0
2719.0	324.0
2719.0	325.0
2719.0	326.0
2719.0	327.0
2719.0	328.0
2719.0	329.0
2719.0	330.0
2719.0	331.0
2719.0	332.0
2719.0	333.0
2719.0	334.0
2719.0	335.0
2719.0	336.0
2719.0	337.0
2719.0	338.0
2719.0	339.0
2719.0	340.0
2719.0	341.0
2719.0	342.0
2719.0	343.0
2719.0	344.0
2719.0	345.0
2719.0	346.0
2719.0	347.0
2719.0	348.0
2719.0	349.0
2719.0	350.0
2719.0	351.0
2719.0	352.0
2719.0	353.0
2719.0	354.0
2719.0	355.0
2719.0	356.0
2719.0	357.0
2719.0	358.0
2719.0	359.0
2719.0	360.0
2719.0	361.0
2719.0	362.0
2719.0	363.0
2719.0	364.0
2719.0	365.0
2719.0	366.0
2719.0	367.0
2719.0	368.0
2719.0	369.0
2719.0	370.0
2719.0	371.0
2719.0	372.0
2719.0	373.0
2719.0	374.0
2719.0	375.0
2719.0	376.0
2719.0	377.0
2719.0	378.0
2719.0	379.0
2719.0	380.0
2719.0	381.0
2719.0	382.0
2719.0	383.0
2719.0	384.0
2719.0	385.0
2719.0	386.0
2719.0	387.0
2719.0	388.0
2719.0	389.0
2719.0	390.0
2719.0	391.0
2719.0	392.0
2719.0	393.0
2719.0	394.0
2719.0	395.0
2719.0	396.0
2719.0	397.0
2719.0	398.0
2719.0	399.0
2719.0	400.0
2719.0	401.0
2719.0	402.0
2719.0	403.0
2719.0	404.0
2719.0	405.0
2719.0	406.0
2719.0	407.0
2719.0	408.0
2719.0	409.0
2719.0	410.0
2719.0	411.0
2719.0	412.0
2719.0	413.0
2719.0	414.0
2719.0	415.0
2719.0	416.0
2719.0	417.0
2719.0	418.0
2719.0	419.0
2719.0	420.0
2719.0	421.0
2719.0	422.0
2719.0	423.0
2719.0	424.0
2719.0	425.0
2719.0	426.0
2719.0	427.0
2719.0	428.0
2719.0	429.0
2719.0	430.0
2719.0	431.0
2719.0	432.0
2719.0	433.0
2719.0	434.0
2719.0	435.0
2719.0	436.0
2719.0	437.0
2719.0	438.0
2719.0	439.0
2719.0	440.0
2719.0	441.0
2719.0	442.0
2719.0	443.0
2719.0	444.0
2719.0	445.0
2719.0	446.0
2719.0	447.0
2719.0	448.0
2719.0	449.0
2719.0	450.0
2719.0	451.0
2719.0	452.0
2719.0	453.0
2719.0	454.0
2719.0	455.0
2719.0	456.0
2719.0	457.0
2719.0	458.0
2719.0	459.0
2719.0	460.0
2719.0	461.0
2719.0	462.0
2719.0	463.0
2719.0	464.0
2719.0	465.0
2719.0	466.0
2719.0	467.0
2719.0	468.0
2719.0	469.0
2719.0	470.0
2719.0	471.0
2719.0	472.0
2719.0	473.0
2719.0	474.0
2719.0	475.0
2719.0	476.0
2719.0	477.0
2719.0	478.0
2719.0	479.0
2719.0	480.0
2719.0	481.0
2719.0	482.0
2719.0	483.0
2719.0	484.0
2719.0	485.0
2719.0	486.0
2719.0	487.0
2719.0	488.0
2719.0	489.0
2719.0	490.0
2719.0	491.0
2719.0	492.0
2719.0	493.0
2719.0	494.0
2719.0	495.0
2719.0	496.0
2719.0	497.0
2719.0	498.0
2719.0	499.0
2719.0	500.0
2719.0	501.0
2719.0	502.0
2719.0	503.0
2719.0	504.0
2719.0	505.0
2719.0	506.0
2719.0	507.0
2719.0	508.0
2719.0	509.0
2719.0	510.0
2719.0	511.0
2719.0	512.0
2719.0	513.0
2719.0	514.0
2719.0	515.0
2719.0	516.0
2719.0	517.0
2719.0	518.0
2719.0	519.0
2719.0	520.0
2719.0	521.0
2719.0	522.0
2719.0	523.0
2719.0	524.0
2719.0	525.0
2719.0	526.0
2719.0	527.0
2719.0	528.0
2719.0	529.0
2719.0	530.0
2719.0	531.0
2719.0	532.0
2719.0	533.0
2719.0	534.0
2719.0	535.0
2719.0	536.0
2719.0	537.0
2719.0	538.0
2719.0	539.0
2719.0	540.0
2719.0	541.0
2719.0	542.0
2719.0	543.0
2719.0	544.0
2719.0	545.0
2719.0	546.0
2719.0	547.0
2719.0	548.0
2719.0	549.0
2719.0	550.0
2719.0	551.0
2719.0	552.0
2719.0	553.0
2719.0	554.0
2719.0	555.0
2719.0	556.0
2719.0	557.0
2719.0	558.0
2719.0	559.0
2719.0	560.0
2719.0	561.0
2719.0	562.0
2719.0	563.0
2719.0	564.0
2719.0	565.0
2719.0	566.0
2719.0	567.0
2719.0	568.0
2719.0	569.0
2719.0	570.0
2719.0	571.0
2719.0	572.0
2719.0	573.0
2719.0	574.0
2719.0	575.0
2719.0	576.0
2719.0	577.0
2719.0	578.0
2719.0	579.0
2719.0	580.0
2719.0	581.0
2719.0	582.0
2719.0	583.0
2719.0	584.0
2719.0	585.0
2719.0	586.0
2719.0	587.0
2719.0	588.0
2719.0	589.0
2719.0	590.0
2719.0	591.0
2719.0	592.0
2719.0	593.0
2719.0	594.0
2719.0	595.0
2719.0	596.0
2719.0	597.0
2719.0	598.0
2719.0	599.0
2719.0	600.0
2719.0	601.0
2719.0	602.0
2719.0	603.0
2719.0	604.0
2719.0	605.0
2719.0	606.0
2719.0	607.0
2719.0	608.0
2719.0	609.0
2719.0	610.0
2719.0	611.0
2719.0	612.0
2719.0	613.0
2719.0	614.0
2719.0	615.0
2719.0	616.0
2719.0	617.0
2719.0	618.0
2719.0	619.0
2719.0	620.0
2719.0	621.0
2719.0	622.0
2719.0	623.0
2719.0	624.0
2719.0	625.0
2719.0	626.0
2719.0	627.0
2719.0	628.0
2719.0	629.0
2719.0	630.0
2719.0	631.0
2719.0	632.0
2719.0	633.0
2719.0	634.0
2719.0	635.0
2719.0	636.0
2719.0	637.0
2719.0	638.0
2719.0	639.0
2719.0	640.0
2719.0	641.0
2719.0	642.0
2719.0	643.0
2719.0	644.0
2719.0	645.0
2719.0	646.0
2719.0	647.0
2719.0	648.0
2719.0	649.0
2719.0	650.0
2719.0	651.0
2719.0	652.0
2719.0	653.0
2719.0	654.0
2719.0	655.0
2719.0	656.0
2719.0	657.0
2719.0	658.0
2719.0	659.0
2719.0	660.0
2719.0	661.0
2719.0	662.0
2719.0	663.0
2719.0	664.0
2719.0	665.0
2719.0	666.0
2719.0	667.0
2719.0	668.0
2719.0	669.0
2719.0	670.0
2719.0	671.0
2719.0	672.0
2719.0	673.0
2719.0	674.0
2719.0	675.0
2719.0	676.0
2719.0	677.0
2719.0	678.0
2719.0	679.0
2719.0	680.0
2719.0	681.0
2719.0	682.0
2719.0	683.0
2719.0	684.0
2719.0	685.0
2719.0	686.0
2719.0	687.0
2719.0	688.0
2719.0	689.0
2719.0	690.0
2719.0	691.0
2719.0	692.0
2719.0	693.0
2719.0	694.0
2719.0	695.0
2719.0	696.0
2719.0	697.0
2719.0	698.0
2719.0	699.0
2719.0	700.0
2719.0	701.0
2719.0	702.0
2719.0	703.0
2719.0	704.0
2719.0	705.0
2719.0	706.0
2719.0	707.0
2719.0	708.0
2719.0	709.0
2719.0	710.0
2719.0	711.0
2719.0	712.0
2719.0	713.0
2719.0	714.0
2719.0	715.0
2719.0	716.0
2719.0	717.0
2719.0	718.0
2719.0	719.0
2719.0	720.0
2719.0	721.0
2719.0	722.0
2719.0	723.0
2719.0	724.0
2719.0	725.0
2719.0	726.0
2719.0	727.0
2719.0	728.0
2719.0	729.0
2719.0	730.0
2719.0	731.0
2719.0	732.0
2719.0	733.0
2719.0	734.0
2719.0	735.0
2719.0	736.0
2719.0	737.0
2719.0	738.0
2719.0	739.0
2719.0	740.0
2719.0	741.0
2719.0	742.0
2719.0	743.0
2719.0	744.0
2719.0	745.0
2719.0	746.0
2719.0	747.0
2719.0	748.0
2719.0	749.0
2719.0	750.0
2719.0	751.0
2719.0	752.0
2719.0	753.0
2719.0	754.0
2719.0	755.0
2719.0	756.0
2719.0	757.0
2719.0	758.0
2719.0	759.0
2719.0	760.0
2719.0	761.0
2719.0	762.0
2719.0	763.0
2719.0	764.0
2719.0	765.0
2719.0	766.0
2719.0	767.0
2719.0	768.0
2719.0	769.0
2719.0	770.0
2719.0	771.0
2719.0	772.0
2719.0	773.0
2719.0	774.0
2719.0	775.0
2719.0	776.0
2719.0	777.0
2719.0	778.0
2719.0	779.0
2719.0	780.0
2719.0	781.0
2719.0	782.0
2719.0	783.0
2719.0	784.0
2719.0	785.0
2719.0	786.0
2719.0	787.0
2719.0	788.0
2719.0	789.0
2719.0	790.0
2719.0	791.0
2719.0	792.0
2719.0	793.0
2719.0	794.0
2719.0	795.0
2719.0	796.0
2719.0	797.0
2719.0	798.0
2719.0	799.0
2719.0	800.0
2719.0	801.0
2719.0	802.0
2719.0	803.0
2719.0	804.0
2719.0	805.0
2719.0	806.0
2719.0	807.0
2719.0	808.0
2719.0	809.0
2719.0	810.0
2719.0	811.0
2719.0	812.0
2719.0	813.0
2719.0	814.0
2719.0	815.0
2719.0	816.0
2719.0	817.0
2719.0	818.0
2719.0	819.0
2719.0	820.0
2719.0	821.0
2719.0	822.0
2719.0	823.0
2719.0	824.0
2719.0	825.0
2719.0	826.0
2719.0	827.0
2719.0	828.0
2719.0	829.0
2719.0	830.0
2719.0	831.0
2719.0	832.0
2719.0	833.0
2719.0	834.0
2719.0	835.0
2719.0	836.0
2719.0	837.0
2719.0	838.0
2719.0	839.0
2719.0	840.0
2719.0	841.0
2719.0	842.0
2719.0	843.0
2719.0	844.0
2719.0	845.0
2719.0	846.0
2719.0	847.0
2719.0	848.0
2719.0	849.0
2719.0	850.0
2719.0	851.0
2719.0	852.0
2719.0	853.0
2719.0	854.0
2719.0	855.0
2719.0	856.0
2719.0	857.0
2719.0	858.0
2719.0	859.0
2719.0	860.0
2719.0	861.0
2719.0	862.0
2719.0	863.0
2719.0	864.0
2719.0	865.0
2719.0	866.0
2719.0	867.0
2719.0	868.0
2719.0	869.0
2719.0	870.0
2719.0	871.0
2719.0	872.0
2719.0	873.0
2719.0	874.0
2719.0	875.0
2719.0	876.0
2719.0	877.0
2719.0	878.0
2719.0	879.0
2719.0	880.0
2719.0	881.0
2719.0	882.0
2719.0	883.0
2719.0	884.0
2719.0	885.0
2719.0	886.0
2719.0	887.0
2719.0	888.0
2719.0	889.0
2719.0	890.0
2719.0	891.0
2719.0	892.0
2719.0	893.0
2719.0	894.0
2719.0	895.0
2719.0	896.0
2719.0	897.0
2719.0	898.0
2719.0	899.0
2719.0	900.0
2719.0	901.0
2719.0	902.0
2719.0	903.0
2719.0	904.0
2719.0	905.0
2719.0	906.0
2719.0	907.0
2719.0	908.0
2719.0	909.0
2719.0	910.0
2719.0	911.0
2719.0	912.0
2719.0	913.0
2719.0	914.0
2719.0	915.0
2719.0	916.0
2719.0	917.0
2719.0	918.0
2719.0	919.0
2719.0	920.0
2719.0	921.0
2719.0	922.0
2719.0	923.0
2719.0	924.0
2719.0	925.0
2719.0	926.0
2719.0	927.0
2719.0	928.0
2719.0	929.0
2719.0	930.0
2719.0	931.0
2719.0	932.0
2719.0	933.0
2719.0	934.0
2719.0	935.0
2719.0	936.0
2719.0	937.0
2719.0	938.0
2719.0	939.0
2719.0	940.0
2719.0	941.0
2719.0	942.0
2719.0	943.0
2719.0	944.0
2719.0	945.0
2719.0	946.0
2719.0	947.0
2719.0	948.0
2719.0	949.0
2719.0	950.0
2719.0	951.0
2719.0	952.0
2719.0	953.0
2719.0	954.0
2719.0	955.0
2719.0	956.0
2719.0	957.0
2719.0	958.0
2719.0	959.0
2719.0	960.0
2719.0	961.0
2719.0	962.0
2719.0	963.0
2719.0	964.0
2719.0	965.0
2719.0	966.0
2719.0	967.0
2719.0	968.0
2719.0	969.0
2719.0	970.0
2719.0	971.0
2719.0	972.0
2719.0	973.0
2719.0	974.0
2719.0	975.0
2719.0	976.0
2719.0	977.0
2719.0	978.0
2719.0	979.0
2719.0	980.0
2719.0	981.0
2719.0	982.0
2719.0	983.0
2719.0	984.0
2719.0	985.0
2719.0	986.0
2719.0	987.0
2719.0	988.0
2719.0	989.0
2719.0	990.0
2719.0	991.0
2719.0	992.0
2719.0	993.0
2719.0	994.0
2719.0	995.0
2719.0	996.0
2719.0	997.0
2719.0	998.0
2719.0	999.0
2719.0	1000.0
2719.0	1001.0
2719.0	1002.0
2719.0	1003.0
2719.0	1004.0
2719.0	1005.0
2719.0	1006.0
